_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e4a38be2d07340443cc30c1),ICMP,ObjectId(5e4a38bb2d07340443cc30bc),2020-02-17T06:54:51.750Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38be2d07340443cc30c0),ICMP,ObjectId(5e4a38bc2d07340443cc30bd),2020-02-17T06:54:52.773Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38be2d07340443cc30bf),ICMP,ObjectId(5e4a38bd2d07340443cc30be),2020-02-17T06:54:53.796Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c12d07340443cc30c7),ICMP,ObjectId(5e4a38be2d07340443cc30c2),2020-02-17T06:54:54.820Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c12d07340443cc30c6),ICMP,ObjectId(5e4a38bf2d07340443cc30c3),2020-02-17T06:54:55.844Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c12d07340443cc30c5),ICMP,ObjectId(5e4a38c02d07340443cc30c4),2020-02-17T06:54:56.869Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c42d07340443cc30cf),ICMP,ObjectId(5e4a38c12d07340443cc30c8),2020-02-17T06:54:57.923Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c42d07340443cc30ce),ICMP,ObjectId(5e4a38c22d07340443cc30c9),2020-02-17T06:54:58.916Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a38c42d07340443cc30cc),ICMP,ObjectId(5e4a38c32d07340443cc30cb),2020-02-17T06:54:59.997Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
