_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e4a39662d07340443cc3209),ICMP,ObjectId(5e4a39652d07340443cc3208),2020-02-17T06:57:41.732Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39692d07340443cc3211),ICMP,ObjectId(5e4a39662d07340443cc320c),2020-02-17T06:57:42.756Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39692d07340443cc3210),ICMP,ObjectId(5e4a39672d07340443cc320d),2020-02-17T06:57:43.782Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39692d07340443cc320f),ICMP,ObjectId(5e4a39682d07340443cc320e),2020-02-17T06:57:44.804Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a396c2d07340443cc3217),ICMP,ObjectId(5e4a39692d07340443cc3212),2020-02-17T06:57:45.828Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a396c2d07340443cc3216),ICMP,ObjectId(5e4a396a2d07340443cc3213),2020-02-17T06:57:46.852Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a396c2d07340443cc3215),ICMP,ObjectId(5e4a396b2d07340443cc3214),2020-02-17T06:57:47.876Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
