_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e4a392a2d07340443cc3196),ICMP,ObjectId(5e4a39292d07340443cc3193),2020-02-17T06:56:41.317Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a392a2d07340443cc3195),ICMP,ObjectId(5e4a392a2d07340443cc3194),2020-02-17T06:56:42.342Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a392d2d07340443cc319d),ICMP,ObjectId(5e4a392b2d07340443cc3198),2020-02-17T06:56:43.364Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a392d2d07340443cc319c),ICMP,ObjectId(5e4a392c2d07340443cc3199),2020-02-17T06:56:44.388Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a392d2d07340443cc319b),ICMP,ObjectId(5e4a392d2d07340443cc319a),2020-02-17T06:56:45.413Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39302d07340443cc31a3),ICMP,ObjectId(5e4a392e2d07340443cc319e),2020-02-17T06:56:46.437Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39302d07340443cc31a2),ICMP,ObjectId(5e4a392f2d07340443cc319f),2020-02-17T06:56:47.461Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
ObjectId(5e4a39302d07340443cc31a1),ICMP,ObjectId(5e4a39302d07340443cc31a0),2020-02-17T06:56:48.484Z,192.168.14.71,192.168.14.200,7e653048-4e32-11ea-a4dd-fcaa14c40cc1,suricata
