,_id,type
0,1354,1
1,1858,1
2,10469,1
3,31898,0
4,28057,0
5,27231,1
6,16592,1
7,31969,0
8,27261,0
9,9581,1
10,8131,1
11,1078,1
12,34235,0
13,5023,1
14,19284,1
15,27644,0
16,28077,0
17,27809,1
18,28354,1
19,38045,0
20,32214,0
21,10624,1
22,26322,1
23,24337,1
24,24050,1
25,29257,1
26,3633,1
27,33376,0
28,11228,1
29,15796,1
30,32826,0
31,20131,1
32,11415,1
33,27775,0
34,22035,1
35,2850,1
36,24849,1
37,33012,0
38,21310,1
39,37818,0
40,34065,0
41,9884,1
42,17581,1
43,13380,1
44,34248,0
45,5401,1
46,22586,1
47,38101,0
48,7638,1
49,20670,1
50,4889,1
51,30218,0
52,35598,0
53,22452,1
54,12421,1
55,36642,0
56,22632,1
57,6833,1
58,5446,1
59,29136,1
60,23228,1
61,2998,1
62,38386,0
63,36945,0
64,3769,1
65,27500,0
66,22784,1
67,13153,1
68,33830,0
69,21012,0
70,23970,0
71,36186,0
72,13342,1
73,84,1
74,30898,0
75,24430,0
76,21869,0
77,37744,0
78,19791,1
79,35989,0
80,18666,1
81,10479,1
82,35346,0
83,37587,0
84,5187,1
85,20061,1
86,8205,1
87,37784,0
88,9599,1
89,11824,1
90,27109,1
91,23001,0
92,3003,1
93,23721,1
94,8053,1
95,22406,1
96,11566,1
97,19167,1
98,33690,0
99,31365,0
100,38501,0
101,9044,1
102,27118,0
103,11068,1
104,31851,0
105,33380,0
106,34387,0
107,32863,0
108,5904,1
109,31984,0
110,23630,1
111,17021,1
112,12388,1
113,266,1
114,23965,1
115,30876,0
116,262,1
117,16597,1
118,16079,1
119,6612,1
120,22729,1
121,38603,0
122,10522,1
123,30677,0
124,36494,0
125,32750,0
126,10723,1
127,7287,1
128,8735,1
129,25931,1
130,13349,1
131,14050,1
132,36754,0
133,11608,1
134,7450,1
135,6950,1
136,23667,1
137,18274,1
138,11605,1
139,34879,0
140,30186,0
141,2344,1
142,20848,1
143,29770,1
144,689,1
145,20085,1
146,4034,1
147,33728,0
148,12170,1
149,32496,0
150,20471,1
151,4470,1
152,9104,1
153,20260,1
154,20010,1
155,7032,1
156,15581,1
157,31298,0
158,2782,1
159,33779,0
160,24019,1
161,11056,1
162,6206,1
163,15612,1
164,6015,1
165,30549,0
166,29616,1
167,22723,1
168,36285,0
169,24218,1
170,33299,0
171,27860,1
172,28249,1
173,26712,0
174,24301,0
