_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e86d7373186f206510f07fb),ICMP,ObjectId(5e86d7363186f206510f079f),2020-04-03T06:27:02.678Z,111.24.112.242,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07fa),ICMP,ObjectId(5e86d7363186f206510f07a6),2020-04-03T06:27:02.710Z,236.176.78.41,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f9),ICMP,ObjectId(5e86d7363186f206510f07a7),2020-04-03T06:27:02.725Z,227.168.144.40,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f8),ICMP,ObjectId(5e86d7363186f206510f07ac),2020-04-03T06:27:02.745Z,16.195.53.200,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f7),ICMP,ObjectId(5e86d7363186f206510f07b3),2020-04-03T06:27:02.779Z,156.248.153.91,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f6),ICMP,ObjectId(5e86d7363186f206510f07ba),2020-04-03T06:27:02.822Z,66.4.138.182,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f5),ICMP,ObjectId(5e86d7363186f206510f07c1),2020-04-03T06:27:02.851Z,223.142.119.2,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f4),ICMP,ObjectId(5e86d7363186f206510f07c8),2020-04-03T06:27:02.873Z,110.72.104.230,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f3),ICMP,ObjectId(5e86d7363186f206510f07cf),2020-04-03T06:27:02.900Z,164.97.29.44,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86d7373186f206510f07f2),ICMP,ObjectId(5e86d7363186f206510f07d0),2020-04-03T06:27:02.909Z,36.187.8.131,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
