_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e86dd713186f20651121ec1),ICMP,ObjectId(5e86dd6e3186f20651121ebc),2020-04-03T06:53:34.802Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd713186f20651121ec0),ICMP,ObjectId(5e86dd6f3186f20651121ebd),2020-04-03T06:53:35.834Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd713186f20651121ebf),ICMP,ObjectId(5e86dd703186f20651121ebe),2020-04-03T06:53:36.852Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd743186f20651121ec5),ICMP,ObjectId(5e86dd713186f20651121ec2),2020-04-03T06:53:37.878Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd743186f20651121ec4),ICMP,ObjectId(5e86dd733186f20651121ec3),2020-04-03T06:53:39.930Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd773186f20651121ecb),ICMP,ObjectId(5e86dd743186f20651121ec6),2020-04-03T06:53:40.954Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd773186f20651121eca),ICMP,ObjectId(5e86dd753186f20651121ec7),2020-04-03T06:53:41.970Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
ObjectId(5e86dd773186f20651121ec9),ICMP,ObjectId(5e86dd763186f20651121ec8),2020-04-03T06:53:42.994Z,192.168.3.18,192.168.3.25,a759e75c-5ba0-11ea-b2d9-d05349cc2225,suricata
