_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
ObjectId(5e4e5ce03186f205c0ff2209),ICMP,ObjectId(5e4e5cdf3186f205c0ff2206),2020-02-20T10:18:07.575Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce03186f205c0ff2208),ICMP,ObjectId(5e4e5ce03186f205c0ff2207),2020-02-20T10:18:08.603Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce33186f205c0ff2210),ICMP,ObjectId(5e4e5ce13186f205c0ff220b),2020-02-20T10:18:09.628Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce33186f205c0ff220f),ICMP,ObjectId(5e4e5ce23186f205c0ff220c),2020-02-20T10:18:10.647Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce33186f205c0ff220e),ICMP,ObjectId(5e4e5ce33186f205c0ff220d),2020-02-20T10:18:11.671Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce63186f205c0ff2216),ICMP,ObjectId(5e4e5ce43186f205c0ff2211),2020-02-20T10:18:12.695Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce63186f205c0ff2215),ICMP,ObjectId(5e4e5ce53186f205c0ff2212),2020-02-20T10:18:13.719Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
ObjectId(5e4e5ce63186f205c0ff2214),ICMP,ObjectId(5e4e5ce63186f205c0ff2213),2020-02-20T10:18:14.743Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata
