_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
ObjectId(5e280c4b3186f205962b8d5b),ICMP,ObjectId(5e280c463186f205962b864a),2020-01-22T08:48:06.861Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d893186f205962be4dc),ICMP,ObjectId(5e280d893186f205962be4b8),2020-01-22T08:53:29.782Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d913186f205962bef07),ICMP,ObjectId(5e280d8d3186f205962be893),2020-01-22T08:53:33.133Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f1c3186f205962cbea9),ICMP,ObjectId(5e280f173186f205962cb9cb),2020-01-22T09:00:07.791Z,208.54.216.197,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c8c3186f205962bdbe3),ICMP,ObjectId(5e280c873186f205962bd4ea),2020-01-22T08:49:11.699Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c6a3186f205962bb24a),ICMP,ObjectId(5e280c663186f205962badfd),2020-01-22T08:48:38.532Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b3e3186f205962b4392),ICMP,ObjectId(5e280b3b3186f205962b40ae),2020-01-22T08:43:39.523Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eed3186f205962c8798),ICMP,ObjectId(5e280ee93186f205962c8153),2020-01-22T08:59:21.504Z,133.190.71.143,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c803186f205962bcac2),ICMP,ObjectId(5e280c7b3186f205962bc50b),2020-01-22T08:48:59.496Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dce3186f205962c3d00),ICMP,ObjectId(5e280dcb3186f205962c38d7),2020-01-22T08:54:35.844Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b3e3186f205962b43d2),ICMP,ObjectId(5e280b3b3186f205962b403f),2020-01-22T08:43:39.184Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280dd43186f205962c46ef),ICMP,ObjectId(5e280dd23186f205962c42cd),2020-01-22T08:54:42.073Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f613186f205962d2252),ICMP,ObjectId(5e280f603186f205962d206e),2020-01-22T09:01:20.012Z,126.3.176.64,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dc13186f205962c2bc4),ICMP,ObjectId(5e280dc03186f205962c2a18),2020-01-22T08:54:24.264Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280da33186f205962c0661),ICMP,ObjectId(5e280da03186f205962c02c8),2020-01-22T08:53:52.478Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f273186f205962cc9d9),ICMP,ObjectId(5e280f253186f205962cc7c8),2020-01-22T09:00:21.520Z,38.209.197.139,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dad3186f205962c1232),ICMP,ObjectId(5e280da83186f205962c0bca),2020-01-22T08:54:00.603Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c8d3186f205962bde45),ICMP,ObjectId(5e280c8c3186f205962bdc9a),2020-01-22T08:49:16.497Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c703186f205962bb974),ICMP,ObjectId(5e280c6c3186f205962bb549),2020-01-22T08:48:44.537Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d8a3186f205962be5a2),ICMP,ObjectId(5e280d893186f205962be440),2020-01-22T08:53:29.115Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280ef93186f205962c95bb),ICMP,ObjectId(5e280ef73186f205962c93fc),2020-01-22T08:59:35.435Z,189.54.137.191,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ef23186f205962c8c99),ICMP,ObjectId(5e280ef23186f205962c8c94),2020-01-22T08:59:30.188Z,87.79.104.98,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ec13186f205962c505a),ICMP,ObjectId(5e280ec13186f205962c5056),2020-01-22T08:58:41.120Z,216.73.82.52,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280ed93186f205962c6e13),ICMP,ObjectId(5e280ed93186f205962c6d9a),2020-01-22T08:59:05.322Z,96.195.69.237,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f293186f205962ccd68),ICMP,ObjectId(5e280f293186f205962ccc92),2020-01-22T09:00:25.170Z,6.156.124.34,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280b4a3186f205962b51ee),ICMP,ObjectId(5e280b473186f205962b4db7),2020-01-22T08:43:51.072Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b4f3186f205962b5790),ICMP,ObjectId(5e280b4e3186f205962b56dc),2020-01-22T08:43:58.982Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f833186f205962d4f60),ICMP,ObjectId(5e280f813186f205962d4bf3),2020-01-22T09:01:53.136Z,229.181.58.110,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280dd63186f205962c48d2),ICMP,ObjectId(5e280dd43186f205962c4616),2020-01-22T08:54:44.227Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280d9d3186f205962bfe54),ICMP,ObjectId(5e280d9b3186f205962bfc3f),2020-01-22T08:53:47.289Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c4a3186f205962b8bca),ICMP,ObjectId(5e280c483186f205962b88a2),2020-01-22T08:48:08.164Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280f173186f205962cba18),ICMP,ObjectId(5e280f153186f205962cb7bb),2020-01-22T09:00:05.790Z,241.39.246.11,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280eed3186f205962c865a),ICMP,ObjectId(5e280eea3186f205962c833e),2020-01-22T08:59:22.684Z,184.240.187.83,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280f4c3186f205962d04e5),ICMP,ObjectId(5e280f483186f205962cfdb0),2020-01-22T09:00:56.961Z,180.222.163.131,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280c8e3186f205962bdeea),ICMP,ObjectId(5e280c8b3186f205962bdb13),2020-01-22T08:49:15.600Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280c413186f205962b8014),ICMP,ObjectId(5e280c3e3186f205962b7c41),2020-01-22T08:47:58.795Z,192.168.3.18,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eda3186f205962c6ecc),ICMP,ObjectId(5e280ed83186f205962c6d1b),2020-01-22T08:59:04.649Z,30.111.198.12,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
ObjectId(5e280db83186f205962c2002),ICMP,ObjectId(5e280db63186f205962c1dc8),2020-01-22T08:54:14.897Z,192.168.3.33,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280b603186f205962b6c5a),ICMP,ObjectId(5e280b5c3186f205962b6755),2020-01-22T08:44:12.550Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
ObjectId(5e280eff3186f205962c9e19),ICMP,ObjectId(5e280efc3186f205962c9b39),2020-01-22T08:59:40.942Z,50.45.43.72,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,DDOS
