,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot
0,3553,0,3698,3698,7246,0,0,0
1,21262,0,21289,21289,6645,0,0,0
2,9539,0,9614,9614,7247,0,0,0
3,4775,0,4694,4694,7246,0,0,0
4,36394,0,36401,36401,7248,0,0,0
5,18989,0,19024,19024,10828,0,0,0
6,8328,0,8104,8104,7247,0,0,0
7,33183,0,33186,33186,8755,0,0,0
8,34359,0,34358,34358,7246,0,0,0
9,11817,0,11548,11548,7248,0,0,0
10,31703,0,32017,32017,6408,0,0,0
11,25595,0,25901,25901,16125,0,0,0
12,23745,0,23701,23701,4547,0,0,0
13,28506,0,28284,28284,9650,0,0,0
14,37300,0,37251,37251,7246,0,0,0
15,7010,0,6904,6904,7247,0,0,0
16,22300,0,22256,22256,1696,0,0,0
17,10235,0,10124,10124,7248,0,0,0
18,28829,0,28634,28634,1079,0,0,0
19,35982,0,36244,36244,7247,0,0,0
20,13857,0,13806,13806,7248,0,0,0
21,38589,0,38430,38430,7246,0,0,0
22,30504,0,30712,30712,8818,0,0,0
23,8535,0,8342,8342,7247,0,0,0
24,38539,0,38480,38480,7246,0,0,0
25,21857,0,21735,21735,9922,0,0,0
26,12833,0,12987,12987,7248,0,0,0
27,29998,0,30165,30165,5389,0,0,0
28,12618,0,12743,12743,7248,0,0,0
29,22416,0,22647,22647,14761,0,0,0
30,8890,0,8926,8926,7247,0,0,0
31,34134,0,34132,34132,7247,0,0,0
32,35624,0,35566,35566,7248,0,0,0
33,34603,0,34598,34598,7247,0,0,0
34,7139,0,7262,7262,7247,0,0,0
35,11600,0,11765,11765,7248,0,0,0
36,9053,0,9229,9229,7247,0,0,0
37,26711,0,26685,26685,17545,0,0,0
38,28152,0,27978,27978,589,0,0,0
39,27211,0,27523,27523,16591,0,0,0
40,26864,0,26532,26532,667,0,0,0
41,33762,0,33816,33816,14643,0,0,0
42,1742,0,1893,1893,7246,0,0,0
43,6261,0,6103,6103,7247,0,0,0
44,30431,0,30314,30314,3313,0,0,0
45,22724,0,22795,22795,15975,0,0,0
46,28549,0,28241,28241,8546,0,0,0
47,28603,0,28860,28860,7352,0,0,0
48,5850,0,5545,5545,7247,0,0,0
49,35129,0,34965,34965,7247,0,0,0
50,16493,0,16331,16331,8310,0,0,0
51,6782,0,6599,6599,7247,0,0,0
52,21864,0,21728,21728,6465,0,0,0
53,30762,0,30919,30919,10107,0,0,0
54,22769,0,22750,22750,7715,0,0,0
55,23076,0,23210,23210,11476,0,0,0
56,9730,0,9861,9861,7247,0,0,0
57,17409,0,17288,17288,14607,0,0,0
58,18068,0,18074,18074,10459,0,0,0
59,10010,0,10020,10020,7247,0,0,0
60,22060,0,22007,22007,9193,0,0,0
61,22502,0,22561,22561,17527,0,0,0
62,30673,0,30543,30543,3801,0,0,0
63,7216,0,7185,7185,7247,0,0,0
64,26232,0,26471,26471,13816,0,0,0
65,24462,0,24756,24756,10559,0,0,0
66,22936,0,22975,22975,10296,0,0,0
67,9684,0,9469,9469,7247,0,0,0
68,21832,0,21760,21760,17544,0,0,0
69,26600,0,26796,26796,12313,0,0,0
70,25716,0,25780,25780,7876,0,0,0
71,31393,0,31238,31238,6323,0,0,0
72,33004,0,32889,32889,6718,0,0,0
73,5430,0,5442,5442,7247,0,0,0
74,617,0,819,819,7246,0,0,0
75,17111,0,17102,17102,8141,0,0,0
76,11826,0,11539,11539,7248,0,0,0
77,9536,0,9617,9617,7247,0,0,0
78,18429,0,18196,18196,15271,0,0,0
79,1776,0,1859,1859,7246,0,0,0
80,27869,0,27587,27587,10389,0,0,0
81,10291,0,10472,10472,7248,0,0,0
82,31479,0,31624,31624,7731,0,0,0
83,30458,0,30287,30287,7552,0,0,0
84,13785,0,13878,13878,7248,0,0,0
85,2579,0,2533,2533,7246,0,0,0
86,12236,0,12164,12164,7248,0,0,0
87,27187,0,26880,26880,10816,0,0,0
88,37433,0,37399,37399,7246,0,0,0
89,1125,0,1199,1199,7246,0,0,0
90,33041,0,32852,32852,14369,0,0,0
91,32209,0,32117,32117,60,0,0,0
92,19462,0,19492,19492,12123,0,0,0
93,15644,0,15514,15514,7248,0,0,0
94,8888,0,8928,8928,7247,0,0,0
95,7648,0,7822,7822,7247,0,0,0
96,13068,0,13214,13214,7248,0,0,0
97,21601,0,21475,21475,13491,0,0,0
98,35647,0,35543,35543,7247,0,0,0
99,593,0,407,407,7246,0,0,0
100,25394,0,25437,25437,11218,0,0,0
101,1396,0,1365,1365,7246,0,0,0
102,7201,0,7200,7200,7247,0,0,0
103,11916,0,12027,12027,7248,0,0,0
104,4757,0,4712,4712,7246,0,0,0
105,33572,0,33391,33391,9755,0,0,0
106,23804,0,23642,23642,1006,0,0,0
107,10052,0,9978,9978,7247,0,0,0
108,1247,0,1077,1077,7246,0,0,0
109,26707,0,26689,26689,8776,0,0,0
110,34183,0,34184,34184,7248,0,0,0
111,3883,0,3771,3771,7246,0,0,0
112,11170,0,11103,11103,7248,0,0,0
113,14360,0,14378,14378,7248,0,0,0
114,16307,0,16517,16517,12347,0,0,0
115,15465,0,15233,15233,7248,0,0,0
116,26947,0,27120,27120,2517,0,0,0
117,27933,0,28197,28197,15420,0,0,0
118,20905,0,21143,21143,8900,0,0,0
119,4906,0,5065,5065,7246,0,0,0
120,20367,0,20614,20614,4153,0,0,0
121,20668,0,20858,20858,14447,0,0,0
122,16062,0,16164,16164,7248,0,0,0
123,21587,0,21489,21489,9000,0,0,0
124,19238,0,19224,19224,9818,0,0,0
125,15550,0,15608,15608,7248,0,0,0
126,22115,0,21952,21952,13138,0,0,0
127,28338,0,28452,28452,253,0,0,0
128,23084,0,23202,23202,4300,0,0,0
129,4167,0,4363,4363,7246,0,0,0
130,32493,0,32353,32353,281,0,0,0
131,11516,0,11280,11280,7248,0,0,0
132,421,0,579,579,7246,0,0,0
133,30507,0,30709,30709,4339,0,0,0
134,24710,0,24508,24508,2341,0,0,0
135,32197,0,32129,32129,8701,0,0,0
136,34152,0,34149,34149,7247,0,0,0
137,8155,0,8277,8277,7247,0,0,0
138,13331,0,13373,13373,7248,0,0,0
139,14301,0,14437,14437,7248,0,0,0
140,16795,0,16969,16969,3963,0,0,0
141,2120,0,2147,2147,7246,0,0,0
142,16464,0,16360,16360,2670,0,0,0
143,15724,0,16008,16008,7248,0,0,0
144,31553,0,31550,31550,11285,0,0,0
145,18591,0,18492,18492,4927,0,0,0
146,33557,0,33406,33406,338,0,0,0
147,19907,0,20051,20051,17547,0,0,0
148,7269,0,7132,7132,7247,0,0,0
149,2415,0,2313,2313,7246,0,0,0
150,3043,0,2904,2904,7246,0,0,0
151,35761,0,35914,35914,7247,0,0,0
152,35983,0,36243,36243,7248,0,0,0
153,14155,0,14053,14053,7248,0,0,0
154,32321,0,32525,32525,245,0,0,0
155,2272,0,2456,2456,7246,0,0,0
156,28042,0,28088,28088,1251,0,0,0
157,9511,0,9642,9642,7247,0,0,0
158,35353,0,35295,35295,7247,0,0,0
159,26485,0,26218,26218,15321,0,0,0
160,13278,0,13426,13426,7248,0,0,0
161,3759,0,3895,3895,7246,0,0,0
162,31250,0,31381,31381,6536,0,0,0
163,4937,0,5034,5034,7246,0,0,0
164,7079,0,6835,6835,7247,0,0,0
165,19868,0,20090,20090,17145,0,0,0
166,17105,0,17108,17108,780,0,0,0
167,23846,0,23981,23981,7811,0,0,0
168,35613,0,35577,35577,7247,0,0,0
169,8959,0,8857,8857,7247,0,0,0
170,37781,0,37847,37847,7246,0,0,0
171,23892,0,23935,23935,1341,0,0,0
172,20652,0,20874,20874,2016,0,0,0
173,31315,0,31316,31316,11581,0,0,0
174,6608,0,6773,6773,7247,0,0,0
175,20883,0,20643,20643,899,0,0,0
176,8427,0,8450,8450,7247,0,0,0
177,17113,0,17100,17100,2157,0,0,0
178,31657,0,31446,31446,201,0,0,0
179,8215,0,8217,8217,7247,0,0,0
180,15632,0,15526,15526,7248,0,0,0
181,37163,0,37145,37145,7247,0,0,0
182,10202,0,10157,10157,7248,0,0,0
183,26065,0,26038,26038,15584,0,0,0
184,22094,0,21973,21973,952,0,0,0
185,29233,0,29344,29344,4312,0,0,0
186,35030,0,35064,35064,7247,0,0,0
187,5573,0,5822,5822,7247,0,0,0
188,26404,0,26299,26299,12211,0,0,0
189,2609,0,2503,2503,7246,0,0,0
190,10870,0,10859,10859,7248,0,0,0
191,15447,0,15251,15251,7248,0,0,0
192,21149,0,20899,20899,2918,0,0,0
193,36027,0,36199,36199,7247,0,0,0
194,10201,0,10158,10158,7248,0,0,0
195,35687,0,35503,35503,7248,0,0,0
196,3456,0,3361,3361,7246,0,0,0
197,1338,0,1423,1423,7246,0,0,0
198,1395,0,1366,1366,7246,0,0,0
199,4178,0,4352,4352,7246,0,0,0
200,25418,0,25413,25413,9744,0,0,0
201,14290,0,14448,14448,7248,0,0,0
202,3633,0,3618,3618,7246,0,0,0
203,11477,0,11319,11319,7248,0,0,0
204,36275,0,36520,36520,7247,0,0,0
205,1195,0,1129,1129,7246,0,0,0
206,4498,0,4458,4458,7246,0,0,0
207,5404,0,5468,5468,7247,0,0,0
208,29459,0,29647,29647,11065,0,0,0
209,4235,0,4295,4295,7246,0,0,0
210,9397,0,9308,9308,7247,0,0,0
211,7165,0,7236,7236,7247,0,0,0
212,15602,0,15556,15556,7248,0,0,0
213,4196,0,4334,4334,7246,0,0,0
214,18203,0,18422,18422,3519,0,0,0
215,28791,0,28672,28672,10807,0,0,0
216,20099,0,19859,19859,465,0,0,0
217,29463,0,29643,29643,800,0,0,0
218,28726,0,28737,28737,6843,0,0,0
219,25260,0,25571,25571,3974,0,0,0
220,13440,0,13264,13264,7248,0,0,0
221,19387,0,19567,19567,14585,0,0,0
222,4573,0,4383,4383,7246,0,0,0
223,29847,0,29736,29736,11155,0,0,0
224,6075,0,6289,6289,7247,0,0,0
225,33195,0,33174,33174,11320,0,0,0
226,17267,0,17430,17430,10357,0,0,0
227,29160,0,29417,29417,15992,0,0,0
228,7074,0,6840,6840,7247,0,0,0
229,17459,0,17238,17238,1885,0,0,0
230,19442,0,19512,19512,2281,0,0,0
231,5768,0,5627,5627,7247,0,0,0
232,36857,0,36996,36996,7247,0,0,0
233,9765,0,9826,9826,7247,0,0,0
234,28910,0,29124,29124,2221,0,0,0
235,29936,0,30227,30227,13011,0,0,0
236,12496,0,12370,12370,7248,0,0,0
237,18375,0,18250,18250,11989,0,0,0
238,25290,0,25541,25541,7914,0,0,0
239,31425,0,31678,31678,5122,0,0,0
240,4906,0,5065,5065,7246,0,0,0
241,32110,0,32216,32216,16618,0,0,0
242,16261,0,16226,16226,17252,0,0,0
243,13408,0,13296,13296,7248,0,0,0
244,24692,0,24526,24526,16352,0,0,0
245,31175,0,30997,30997,3325,0,0,0
246,19850,0,19607,19607,15558,0,0,0
247,28097,0,28033,28033,14342,0,0,0
248,20025,0,19933,19933,13581,0,0,0
249,36400,0,36395,36395,7247,0,0,0
250,5700,0,5695,5695,7247,0,0,0
251,7791,0,7679,7679,7247,0,0,0
252,3079,0,3287,3287,7246,0,0,0
253,10677,0,10548,10548,7248,0,0,0
254,28005,0,28125,28125,10210,0,0,0
255,3353,0,3464,3464,7246,0,0,0
256,16135,0,16091,16091,7248,0,0,0
257,19038,0,18975,18975,8899,0,0,0
258,30261,0,30484,30484,5006,0,0,0
259,30879,0,30802,30802,3819,0,0,0
260,3090,0,3276,3276,7246,0,0,0
261,14288,0,14450,14450,7248,0,0,0
262,23784,0,23662,23662,6757,0,0,0
263,14733,0,14520,14520,7248,0,0,0
264,8300,0,8132,8132,7247,0,0,0
265,3907,0,3747,3747,7246,0,0,0
266,8836,0,8980,8980,7247,0,0,0
267,37064,0,36789,36789,7247,0,0,0
268,2438,0,2290,2290,7246,0,0,0
269,28988,0,29046,29046,9956,0,0,0
270,30369,0,30376,30376,17457,0,0,0
271,3922,0,3732,3732,7246,0,0,0
272,3087,0,3279,3279,7246,0,0,0
273,18222,0,18403,18403,10100,0,0,0
274,17246,0,17451,17451,553,0,0,0
275,2274,0,2454,2454,7246,0,0,0
276,37640,0,37599,37599,7246,0,0,0
277,24210,0,24439,24439,12361,0,0,0
278,30091,0,30072,30072,8749,0,0,0
279,26674,0,26722,26722,11103,0,0,0
280,313,0,211,211,7246,0,0,0
281,17635,0,17561,17561,5371,0,0,0
282,35735,0,35940,35940,7247,0,0,0
283,19464,0,19490,19490,14235,0,0,0
284,26783,0,26613,26613,1333,0,0,0
285,21552,0,21524,21524,3488,0,0,0
286,34097,0,34094,34094,7247,0,0,0
287,35130,0,34964,34964,7247,0,0,0
288,33252,0,33117,33117,283,0,0,0
289,32418,0,32428,32428,8154,0,0,0
290,1872,0,1763,1763,7246,0,0,0
291,6029,0,5893,5893,7247,0,0,0
292,7595,0,7314,7314,7247,0,0,0
293,35495,0,35695,35695,7247,0,0,0
294,880,0,1001,1001,7246,0,0,0
295,38473,0,38546,38546,7246,0,0,0
296,27501,0,27233,27233,9026,0,0,0
297,25498,0,25333,25333,2561,0,0,0
298,18842,0,18709,18709,2565,0,0,0
299,20813,0,20713,20713,1230,0,0,0
300,23687,0,23759,23759,5127,0,0,0
301,33554,0,33409,33409,9527,0,0,0
302,25719,0,25777,25777,15668,0,0,0
303,16038,0,15694,15694,7248,0,0,0
304,3023,0,2924,2924,7246,0,0,0
305,34508,0,34510,34510,7246,0,0,0
306,32295,0,32551,32551,8975,0,0,0
307,8343,0,8534,8534,7247,0,0,0
308,27153,0,26914,26914,6555,0,0,0
309,33505,0,33458,33458,2728,0,0,0
310,26149,0,25954,25954,14996,0,0,0
311,8522,0,8355,8355,7247,0,0,0
312,16957,0,16807,16807,15993,0,0,0
313,37055,0,36798,36798,7247,0,0,0
314,7467,0,7442,7442,7247,0,0,0
315,15411,0,15287,15287,7248,0,0,0
316,21228,0,21323,21323,1503,0,0,0
317,23523,0,23515,23515,3124,0,0,0
318,28644,0,28819,28819,13005,0,0,0
319,20590,0,20391,20391,16166,0,0,0
320,30137,0,30026,30026,16344,0,0,0
321,26565,0,26831,26831,13561,0,0,0
322,37252,0,37299,37299,7246,0,0,0
323,21315,0,21236,21236,15212,0,0,0
324,36964,0,36889,36889,7248,0,0,0
325,37082,0,37226,37226,7248,0,0,0
326,22543,0,22520,22520,6524,0,0,0
327,1603,0,1599,1599,7246,0,0,0
328,13004,0,12816,12816,7248,0,0,0
329,20787,0,20739,20739,9171,0,0,0
330,7924,0,8047,8047,7247,0,0,0
331,24450,0,24768,24768,15566,0,0,0
332,28162,0,27968,27968,16552,0,0,0
333,11047,0,11226,11226,7248,0,0,0
334,20976,0,21072,21072,1040,0,0,0
335,37263,0,37288,37288,7246,0,0,0
336,20026,0,19932,19932,3065,0,0,0
337,20560,0,20421,20421,2063,0,0,0
338,23420,0,23618,23618,9948,0,0,0
339,33537,0,33426,33426,12157,0,0,0
340,24112,0,24110,24110,594,0,0,0
341,15481,0,15677,15677,7248,0,0,0
342,7602,0,7868,7868,7247,0,0,0
343,5464,0,5408,5408,7247,0,0,0
344,8832,0,8984,8984,7247,0,0,0
345,25556,0,25275,25275,352,0,0,0
346,38450,0,38569,38569,7246,0,0,0
347,4505,0,4451,4451,7246,0,0,0
348,14500,0,14238,14238,7248,0,0,0
349,6633,0,6748,6748,7247,0,0,0
350,1021,0,860,860,7246,0,0,0
351,7294,0,7107,7107,7247,0,0,0
352,14365,0,14373,14373,7248,0,0,0
353,17000,0,17213,17213,10307,0,0,0
354,23889,0,23938,23938,13665,0,0,0
355,6125,0,6239,6239,7247,0,0,0
356,6451,0,6403,6403,7247,0,0,0
357,10931,0,10798,10798,7248,0,0,0
358,12176,0,12224,12224,7248,0,0,0
359,3510,0,3307,3307,7246,0,0,0
360,3327,0,3490,3490,7246,0,0,0
361,4406,0,4550,4550,7246,0,0,0
362,22026,0,22041,22041,1633,0,0,0
363,4273,0,4257,4257,7246,0,0,0
364,32285,0,32041,32041,17232,0,0,0
365,23764,0,23682,23682,5065,0,0,0
366,6360,0,6494,6494,7247,0,0,0
367,35804,0,35871,35871,7248,0,0,0
